gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
NF1	4	23	34	10	37	2.5697090524487334	43.451754525996314	43.451754525996314	10.061584039253809	0.05219433042470034	0	0	2.0903084105800503e-4	0.6560654474341937	0	0	0.1855317903556417	0	0
PPM1D	0	2	26	0	13	39.244758992493445	5846.7217662731655	5846.7217662731655	16.625710848914174	0.15126149709651504	0	0	3.305132953798697e-5	0.6849084872670012	0	0	0.06824727484549553	0	0
CEP170	2	4	31	0	0	1.008321138676098	83.65231269143759	83.65231269143759	0	0.9923091868638867	0	0	1	0.9960962358493394	0	0	1	0	0
ATRX	2	26	21	5	36	5.513747155436677	49.00437899911449	49.00437899911449	11.191536544784213	0.002750472664860948	1.1102230246251565e-16	1.1102230246251565e-16	9.407341160382797e-5	0.2598796114022014	3.601563491884008e-13	1.350586309456503e-13	0.12206965889712716	0	0
PTEN	0	14	6	7	14	283.8821263603708	3121.5715863410874	3121.5715863410874	18.80449684604557	4.322588055194476e-5	3.552713678800501e-15	3.530509218307998e-14	1.0372640736762899e-5	0.010960279877104623	9.878574149167564e-12	3.6167279697445724e-11	0.04037861586007061	0	0
SMARCB1	1	2	11	1	9	2.133030576224107	115.33058170449041	115.33058170449041	17.658544687434837	0.5187125178804178	1.1833867219479544e-12	3.2507330161024584e-13	7.660075091333171e-5	0.8959286935863389	2.879179894499373e-9	3.1636133712709126e-10	0.1180377300979993	9.992007221626409e-16	1.0804690475652023e-12
BCOR	3	5	9	3	25	0.9539117974341498	35.494370961353084	35.494370961353084	11.033797063301634	0.9483628773411008	1.7292134391055924e-10	6.965539256498232e-12	1.6183224436450494e-4	0.9754470442381378	2.804784198229271e-7	5.894663308194851e-9	0.16578435812161707	3.9968028886505635e-14	4.094409022352346e-11
UBC	45	1	0	0	1	0.018163531020343827	0	0	1.1297578800675028	1.5543122344752192e-15	0.03270687838576436	5.662137425588298e-15	0.4619397941437906	2.327164102448128e-12	0.8900320297204208	6.482814285391213e-12	1	9.048317650695026e-14	8.805822737656399e-11
FUBP1	0	1	3	7	13	17.520646856350602	1341.0638750787275	1341.0638750787275	14.64415810238661	0.3645512389658849	1.021177364890491e-9	5.502798217094096e-11	7.883736597174223e-5	0.7196836025822694	1.5289381715560396e-6	3.570215483250649e-8	0.1180377300979993	1.4777068457760834e-13	1.3696231450564614e-10
ATAD3B	1	61	0	1	0	47.49591216702469	8.504343287987155	8.504343287987155	0	1.5543122344752192e-15	0.1604337656021686	5.995204332975845e-15	1	2.327164102448128e-12	0.9790755787452324	6.482814285391213e-12	1	2.0228263508670352e-13	1.7896496406034535e-10
CDKN2A	1	0	7	0	4	0	201.51378894719454	201.51378894719454	18.452712041102544	0.3082656549294842	9.408607226646382e-11	1.575262142949896e-11	0.0011317382172696645	0.687993391721279	1.6648102823585925e-7	1.1792654750144914e-8	0.3220586851493135	5.822009541134321e-13	4.926938856897323e-10
SETD2	0	14	11	3	19	151.73643014681412	1600.3362614701664	1600.3362614701664	5.740843746120791	0.0015510449789620795	3.0849767185259225e-12	7.861045148160883e-12	0.007938878932364514	0.17465940424355159	6.671776316598728e-9	6.3753076151584764e-9	0.6385220642129871	1.959876705370789e-12	1.5894600080557097e-09
KRAS	0	21	0	0	4	1037.3629037220558	0	0	16.316082225816984	8.888778602056391e-12	0.9493433529775834	3.898226186294096e-11	0.001679912924801962	1.0177128630025035e-8	0.9790755787452324	2.6163818789664928e-8	0.3593167600917076	2.0534685063466895e-12	1.5987484403012786e-9
FGFR1	1	54	0	1	4	37.79267717516635	6.988705105106157	6.988705105106157	3.4715068565568057	1.1228795671058833e-12	0.19673988947233734	3.803957149273174e-12	0.08455397222317541	1.457048526276594e-9	0.9790755787452324	3.3654646342478663e-9	1	9.57367518594765e-12	7.167000531510964e-9
LYZL2	0	26	0	0	0	1136.9791160542447	0	0	0	2.4846791291111003e-13	0.945191612504678	8.895106873296754e-13	1	3.4544138977870327e-10	0.9790755787452324	8.244493341992764e-10	1	2.557176692619123e-11	1.8434402646347635e-8
AHNAK2	308	455	0	0	24	0.7696549084355417	0	0	3.209167311496094	4.4128076170169006e-4	7.539691093683132e-11	2.1518342663284784e-11	0.05319201688582718	0.06871270996609356	1.4675254744744848e-7	1.5512334133265742e-8	1	3.26165761066477e-11	2.2673179904992528e-8
SPDYE1	2	43	0	0	0	20.93935090999096	0	0	0	1.4613310561628623e-11	0.5188393821126118	1.2076228905755215e-11	1	1.5801859820641084e-8	0.9790755787452324	9.40206877686478e-9	1	3.1567004565857815e-10	2.118690265068471e-7
EGFR	0	37	0	0	8	573.7859030948939	0	0	5.11982761834059	1.5287814347786366e-9	0.9116475442012333	1.2656797832022448e-9	0.02111543560365243	1.1595507380945946e-6	0.9790755787452324	7.245644500073086e-7	0.8847672317230418	6.773656080483192e-10	4.394748065017495e-7
SEMG2	1	44	1	0	0	37.52913840377746	9.393533436660983	9.393533436660983	0	5.171529871006442e-12	0.14447566375841392	3.125877334753113e-11	1	6.291166088079336e-9	0.9790755787452324	2.1729313015583784e-8	1	7.873685037296241e-10	4.943658244062388e-7
ACVR1	0	32	0	1	2	729.1236705356011	224.1916836538293	224.1916836538293	3.0392702185345364	7.666745016621235e-11	0.03720975596074394	5.510500944438945e-10	0.15776229365425568	7.461276250175786e-8	0.8900320297204208	3.3517621994549884e-7	1	2.100857376952092e-9	1.27784649953111e-6
H3C2	0	21	0	0	0	920.529580192251	0	0	0	4.830236211006422e-11	0.9626594869229352	2.845333968437558e-10	1	4.948195663738369e-8	0.9790755787452324	1.786502592311891e-7	1	6.538625973995238e-9	3.85660048357101e-6
TAS2R19	0	22	0	0	1	783.3669478307954	0	0	2.5833796857543563	3.0674718320966576e-10	0.9494237797889421	1.3077726679355806e-9	0.2760226990493895	2.713875988178607e-7	0.9790755787452324	7.272710631056612e-7	1	8.209368851375132e-9	4.6996222153872225e-6
CIC	8	15	6	3	35	0.9923358669353693	10.990758268841201	10.990758268841201	10.772631731700056	0.9859606145720848	4.954517823785309e-6	5.1989581691946896e-6	1.3098920840407598e-4	0.9931328945818081	0.005357485273453181	0.001581133153206335	0.14997493837511383	1.505533597789821e-8	8.37248741353745e-6
IFITM3	0	17	0	0	0	962.6178947200813	0	0	0	1.690542150711849e-10	0.96185515104758	9.973530890050597e-10	1	1.566891067688354e-7	0.9790755787452324	5.882569855877117e-7	1	2.1668409733166527e-8	1.1715386862398702e-5
HYAL3	72	21	0	0	2	0.2946743521791605	0	0	3.7082005058674965	7.025177073405331e-8	5.722634059828202e-4	9.623277397174945e-9	0.123481410899621	4.143577168386708e-5	0.24214206378368722	5.062364088070625e-6	1	2.5608661968767876e-8	1.3471540447570215e-5
CT45A9	1	22	0	0	0	38.91563740991806	0	0	0	5.792786250680138e-10	0.7280741948132994	1.9211766622007076e-9	1	4.902208329706008e-7	0.9790755787452324	1.0387161820298492e-6	1	4.0479822382977204e-8	2.0734191127954428e-5
PRX	33	6	1	0	2	0.1098357942154614	0.36567320120451446	0.36567320120451446	0.9955220368995592	1.4068904929942505e-9	0.24149736996512605	1.073450617283811e-8	0.4377855459937158	1.1409881898183372e-6	0.9790755787452324	5.223410703703024e-6	1	9.481452345472263e-8	4.731974062878773e-5
CYP2A6	24	1	5	0	1	0.03843082896432687	2.4843434643135107	2.4843434643135107	1.565684658032943	1.107387295196105e-7	0.09454999031010347	1.8286196779015995e-8	0.38421155321023415	5.9872739760269404e-5	0.9790755787452324	8.681037417238228e-6	1	1.389252985983802e-7	6.760105029797181e-5
DDX3X	0	21	3	1	9	337.07228293393024	641.701667523895	641.701667523895	9.502895301821201	4.3871096649938934e-6	6.666050930992373e-5	4.707929780023434e-6	0.0018606999024464153	0.0015525582276262025	0.04633857690029841	0.0014779862135221955	0.3693293475644507	1.7128571794255976e-7	8.131476131790203e-5
ZNF696	1	26	0	0	3	25.54610549625815	0	0	6.200111245810454	6.366199567509057e-8	0.7749513467953728	2.590887575593115e-7	0.03609364604024157	3.872240886937384e-5	0.9790755787452324	1.0291639953335589e-4	1	1.822387203365139e-7	8.445462982452159e-5
SAP30	0	20	1	0	0	726.7353798856384	559.3244738441279	559.3244738441279	0	1.5489272087165773e-9	0.013940942712940552	1.0127868543818863e-8	1	1.1595507380945946e-6	0.8900320297204208	5.187600877286588e-6	1	1.9656141903023894e-7	8.897375488382723e-5
GZMH	0	19	0	0	0	714.9546076837294	0	0	0	2.6427462440636873e-9	0.9460525638230897	1.0642755121637038e-8	1	1.905126403498356e-6	0.9790755787452324	5.223410703703024e-6	1	2.060265664738381e-7	9.113866113288148e-5
PIK3R1	3	7	3	2	19	1.7806482412975817	9.611131418540067	9.611131418540067	20.089037119781484	0.38557155262120746	0.0020190834498329258	0.007659749394756221	1.9786754297852833e-6	0.7401191180200801	0.529405445770766	0.48563310169229673	0.012837646188446919	2.880406432259619e-7	1.2458717955000272e-4
PTCH1	2	5	3	3	18	1.537440414963795	24.81240063599812	24.81240063599812	9.634150761791107	0.5946210000779135	1.8980725726591707e-5	3.561172305921456e-5	6.085666841029075e-4	0.9515866181917747	0.017950091268016673	0.00815466561911238	0.28997662672488056	4.0412499757724873e-7	1.7099758593138193e-4
HCFC1	35	12	1	1	13	0.20615518520471052	0.5541364450219082	0.5541364450219082	4.841509262105713	2.665740891361068e-7	0.374368526014456	1.765358422556318e-6	0.018460517627040245	1.2971495177362957e-4	0.9790755787452324	5.924299368385548e-4	0.8507758266707867	5.944076729713643e-7	2.461606584407369e-4
CYP4F2	1	30	0	0	0	25.983237402095106	0	0	0	2.553405253902241e-8	0.6432445160865616	3.871316456294238e-8	1	1.6032090278049425e-5	0.9790755787452324	1.7940786548883585e-5	1	6.994340783217368e-7	2.8362051875946426e-4
ADAMTS2	62	36	0	0	4	0.38924482081899886	0	0	2.557801669063719	3.968957566935494e-6	2.561073865298136e-4	3.0048914367863944e-7	0.1402871036176844	0.001457580944959103	0.14813517856678535	1.1697441385122076e-4	1	7.580233052362217e-7	3.011054206758739e-4
NBPF10	3	50	0	0	1	8.161797582026251	0	0	0.20416593933780472	1.1077801149728117e-6	0.21437103299089522	5.517414558564582e-8	0.8164123555689554	4.880687450318888e-4	0.9790755787452324	2.497464115532582e-5	1	8.070059084319681e-7	3.141512600343965e-4
PDGFRA	3	40	1	0	8	8.619345821086316	2.075010378060857	2.075010378060857	5.688175454871976	9.733057080296703e-7	0.5534931467437063	3.160265606982904e-6	0.015237011544487571	4.4056796049045356e-4	0.9790755787452324	0.0010425662673612752	0.782515020321652	8.594772935577311e-7	3.2223560398382853e-4
MUC16	76	73	3	0	9	0.39613473978131325	0.292195083201001	0.292195083201001	0.4787319939283981	2.5230824984845412e-8	0.010652367251455575	7.889556918883045e-8	0.6113969881816004	1.6032090278049425e-5	0.8900320297204208	3.4124963526475464e-5	1	8.608842687607421e-7	3.2223560398382853e-4
OR10G2	48	4	0	0	0	0.11301569311567453	0	0	0	1.810421845771515e-8	0.11595304312796673	6.060728896528644e-8	1	1.2585018145034558e-5	0.9790755787452324	2.6810460736825803e-5	1	1.067830773915368e-6	3.9215581478280615e-4
KDM6A	2	4	6	2	11	1.1274684818215939	17.916365434128366	17.916365434128366	5.863241377571785	0.8883718277296605	2.0392678856562263e-5	8.207677491101073e-6	0.010504104521053213	0.9515866181917747	0.01804195914836945	0.0023843915624894223	0.6925738111973603	1.488613193378896e-6	5.365623554801265e-4
ZNF347	23	2	0	0	1	0.06147834899198674	0	0	0.92153853237373	8.156697628436405e-8	0.027488725018195992	1.8311010241411907e-7	0.5114723715358853	4.5664348210015606e-5	0.8900320297204208	7.425114652892528e-5	1	1.6093468278022272e-6	5.695332119335009e-4
SLC10A4	0	22	0	0	0	559.1912015514713	0	0	0	2.1309729980600878e-8	0.9547769839821373	9.923181043536289e-8	1	1.4302502908359155e-5	0.9790755787452324	4.19879990937805e-5	1	1.6994248540624923e-6	0.00059067152427629195
CDKN2C	0	4	0	0	7	196.27447099616825	0	0	32.1011676928056	0.0035359027025791967	0.9627108515512741	0.01323112133295179	7.828901877216377e-6	0.2979342433030367	0.9790755787452324	0.6486915506916212	0.03809543653453489	1.7695318540456029e-6	5.943641422298089e-4
SLC35G6	1	22	0	0	1	26.773867812809442	0	0	2.2861767130569524	8.211324431517397e-8	0.7764637838383359	3.447655925192805e-7	0.30073775655573176	4.5664348210015606e-5	0.9790755787452324	1.3157877436853482e-4	1	1.771122084326393e-6	5.943641422298089e-4
PTPN11	2	34	0	0	0	13.201337588750548	0	0	0	1.7060086432429955e-7	0.4585646654383686	1.2496391432748055e-7	1	8.738355850547807e-5	0.9790755787452324	5.175101337170386e-5	1	2.1112954272650697e-6	6.959274373949942e-4
NUP188	1	3	1	7	5	1.6273951759270098	37.2202155439386	37.2202155439386	2.2143254449323053	0.6571079753458934	2.4751135758727116e-6	7.861357365079868e-7	0.1616805056989581	0.9515866181917747	0.002855182997407358	2.833582588035455e-4	1	2.1452757009710055e-6	6.959274373949942e-4
SLC35G5	6	33	0	0	1	6.963358855051233	0	0	2.2861767130569524	1.4905683465293862e-7	0.5188644765010575	4.749770305956247e-7	0.30073775655573176	7.841195215364317e-5	0.9790755787452324	1.744330740285517e-4	1	2.3942740601246015e-6	7.639696771518892e-4
FLG2	88	139	0	0	3	0.7544477793171852	0	0	0.9720074068473747	0.04095440197738098	7.678016100687302e-8	3.688560211712044e-7	0.4230361668961231	0.6515313278275349	9.962993692251841e-5	1.3806564607839083e-4	1	2.6016700459541298e-6	8.167565447492126e-4
SOX10	0	6	1	0	12	130.3178192279696	416.5962895917321	416.5962895917321	17.254483986485493	0.006773312223624983	0.019176225205064124	0.010256950600515125	3.302577390040807e-5	0.43083578143998913	0.8900320297204208	0.5637778063558645	0.06824727484549553	5.385355284603932e-6	0.0016638183374528721
KMT2D	8	22	8	2	42	1.2793839712355948	7.51144324027515	7.51144324027515	5.860746136209019	0.5425937945367733	4.379526477649165e-5	1.0514821126073048e-4	0.005205081741570485	0.9221204589944778	0.03409724134438533	0.02191753956982231	0.5304278063765859	8.43849107079464e-6	0.00256635609690542
ARID1A	2	7	2	4	17	1.9160417257980855	23.054654837196246	23.054654837196246	5.763445493152763	0.38815344852530487	2.8183894255739972e-5	7.928907790122341e-5	0.008318135459482496	0.7433115625832876	0.023850926860596644	0.01695914958537816	0.6518778870244726	1.0045892167243053e-5	0.003008203771434135
PABPC3	26	4	0	0	1	0.11620149308385894	0	0	1.2262878255163083	6.335522585443343e-7	0.05202087604917738	1.5755360619484904e-6	0.44211536782905864	3.007673453733396e-4	0.9064765724451106	5.476113198172396e-4	1	1.0571892486321843e-5	0.003117747202329824
SPATA31E1	4	44	0	0	1	6.782533183474616	0	0	0.5359708891606547	1.9794083837565424e-6	0.3553497459284054	1.6408667496969898e-6	0.6388711811646826	8.026500996132779e-4	0.9790755787452324	5.603128143175825e-4	1	1.5481685736840056e-5	0.004497545241520222
FAM25C	1	11	0	0	0	38.15344861145429	0	0	0	1.9743980284037121e-7	0.8275446485289523	1.0737570164121024e-6	1	9.853764929448681e-5	0.9790755787452324	3.799928466808211e-4	1	1.5831845860292404e-5	0.00453163305624605
HLA-C	1	19	0	0	2	19.643091159996008	0	0	4.155570540087436	4.697104772466432e-6	0.684286627736731	1.2141651200336945e-5	0.10644357735110856	0.0016039376717769582	0.9790755787452324	0.00337607284233369	1	1.8816074705108043e-5	0.005307769247249608
HLA-A	6	17	1	0	10	2.9237247226634233	1.9075577640523935	1.9075577640523935	19.62060520826093	0.015515309897362606	0.5798735601936702	0.05346853974909982	2.7127397464610262e-5	0.5577253862594391	0.9790755787452324	0.8884328472409911	0.06824727484549553	2.0949938613568087e-5	0.005825280073921275
STAG2	0	5	6	1	3	65.96413889191139	675.7169219559472	675.7169219559472	1.8321841742938696	0.04536945502256062	2.4937377186562415e-6	7.175875989529068e-6	0.23826733725809032	0.6560654474341937	0.002855182997407358	0.0021162310645483906	1	2.4414156356122874e-5	0.006692917455148952
OR2T34	0	14	0	0	1	451.94728319970795	0	0	2.4295106762580154	1.2863886210690012e-6	0.9579739016901813	6.1997215835551955e-6	0.28828746512579156	5.44310176532327e-4	0.9790755787452324	0.0018564827831125895	1	2.544189273734343e-5	0.006877791669995173
PLIN4	62	38	0	0	2	0.4016712542149398	0	0	1.1289350411162518	6.292695343135257e-6	0.012316544206554925	4.883748527806375e-6	0.40185393207854975	0.002111741761358356	0.8900320297204208	0.0015088457356384648	1	2.7752988052243133e-5	0.007399783006148771
SMARCA4	3	34	0	0	6	6.672643119513195	0	0	2.7679068061653815	4.186803436112552e-5	0.3588516008021143	3.0660550335848136e-5	0.10566696995259699	0.010960279877104623	0.9790755787452324	0.007306858418584592	1	4.419096280705581e-5	0.011623417568601815
H1-10	0	14	0	0	1	407.50002966111396	0	0	2.9245807763256866	2.999419808524806e-6	0.9717052421576909	1.6295268324917345e-5	0.2522330645174733	0.0011914430031250373	0.9790755787452324	0.004344809625701249	1	5.508512795726617e-5	0.014295692407469715
MAX	0	11	0	0	0	526.1669953800066	0	0	0	1.1283956805607787e-6	0.9380283269641894	4.180048338908726e-6	1	4.880687450318888e-4	0.9790755787452324	0.0013560076811419907	1	5.59507318085295e-5	0.014329276893700239
HNRNPA2B1	9	1	1	0	8	0.12492606956438275	0.9436327317891368	0.9436327317891368	17.51443854748716	0.01098330283879545	0.9557545254026334	0.036047875244477945	1.2153397871516482e-4	0.5206905284171303	0.9790755787452324	0.8884328472409911	0.147846085106998	5.843531571603222e-5	0.014587263576402679
RPS15	0	12	0	0	0	512.2442528764767	0	0	0	9.123797296561875e-7	0.9557497749338225	4.382797183066778e-6	1	4.228228347149532e-4	0.9790755787452324	0.0013984715470690453	1	5.845697487460999e-5	0.014587263576402679
CHTF18	1	30	0	1	1	18.97016770537446	7.664814492530472	7.664814492530472	0.6540201736086978	1.4827658993965542e-6	0.1788239620986426	8.37640323547717e-6	0.5934823397895757	6.140543716139262e-4	0.9790755787452324	0.0023976222437548183	1	6.567932396583931e-5	0.016182055211026534
RETSAT	1	20	0	0	2	17.167962235161127	0	0	2.536870395176127	1.4323139258975992e-5	0.6385606814466289	2.7700824663856594e-5	0.19388913508908467	0.004469243175519068	0.9790755787452324	0.00673961064071631	1	7.054403270201348e-5	0.01716336315639988
PRSS1	6	23	0	0	1	5.672003742374524	0	0	2.95806834246682	1.7270385814893707e-5	0.3424795823087369	2.620146908349774e-5	0.250117666910215	0.005252356085954549	0.9790755787452324	0.006455511319508861	1	8.477228030900896e-5	0.020370464986846304
CFL1	15	0	0	0	3	0	0	0	11.341666913067908	2.0456397111989766e-4	0.27538691787190006	6.938759398676941e-4	0.00972831162879908	0.036866973461830446	0.9790755787452324	0.08944106816943576	0.6763005904381627	8.711815815409807e-5	0.020678875979406888
ASXL1	3	3	5	0	8	0.5695845298690694	13.151876074082137	13.151876074082137	4.020824413625457	0.49164955875545535	5.253729997104495e-4	1.9387514802227113e-4	0.04135529197557838	0.8643331596743112	0.2324059105991861	0.03527008451128037	1	1.0209700436369928e-4	0.023942362565482444
OR2T33	2	17	0	0	2	10.766458628715771	0	0	4.8287470761763664	2.7507477331378816e-5	0.7055176244262327	1.0414815256643006e-4	0.08676348792846653	0.007991127444447124	0.9790755787452324	0.02191753956982231	1	1.1398574483079127e-4	0.026412125445077636
RANBP2	17	5	0	1	4	0.12438703488487854	0.26922921297061936	0.26922921297061936	0.961257557489993	4.083588224568224e-6	0.11882752228129057	2.2976068547286843e-5	0.4148770650601011	0.0014719066889443688	0.9790755787452324	0.005807872703953131	1	1.1973289890210292e-4	0.027288557679388415
SLC9B1	5	8	7	0	3	1.5125252065450836	12.631887640185264	12.631887640185264	4.505894800734342	0.4613308325882616	3.6388942066256647e-5	1.4629790483555727e-4	0.065652754839457525	0.8263763068899087	0.02951143201573414	0.028763054744639256	1	1.2057213113580989e-4	0.027288557679388415
NOS2	2	5	0	7	1	1.6139173780000649	22.539665449191016	22.539665449191016	0.6715891730730561	0.5526536001774878	1.1372296326195297e-5	1.8239289906407663e-5	0.5872838449336297	0.9322975969712795	0.011650019773319224	0.004733460516510917	1	1.3329757500479822e-4	0.02982188505624589
RASAL1	0	0	1	3	0	0	680.6875710218645	680.6875710218645	0	0.7884410950606799	5.3636156161496196e-5	1.1999259409312124e-5	1	0.9515866181917747	0.038665709019531924	0.00337607284233369	1	1.479588555355349e-4	0.03272580868345058
CCDC74A	0	15	0	0	0	382.8307576426178	0	0	0	3.909416191771875e-6	0.9369983081779556	1.3084680011488103e-5	1	0.001457580944959103	0.9790755787452324	0.003587045235825415	1	1.6020971805885686e-4	0.035037325306714495
TSPY8	0	14	0	0	0	397.9376227397569	0	0	0	3.623591075418986e-6	0.9422808637036381	1.3521612436950825e-5	1	0.0013829328763128458	0.9790755787452324	0.0036553425621223727	1	1.6511540087249532e-4	0.03570895736202499
ACADVL	1	0	0	0	14	0	0	0	15.979668159305296	0.19318236915061848	0.6155673985491493	0.40477507544180713	3.5063334795260755e-5	0.6849084872670012	0.9790755787452324	0.995047987471456	0.06824727484549553	1.726234418609751e-4	0.036922446949252966
VWF	30	14	1	0	2	0.2527878956185901	0.1944715896683442	0.1944715896683442	0.5508272251075386	8.381326795592337e-6	0.03386817453184132	2.564875381760867e-5	0.6013314584504649	0.002764985504227275	0.8900320297204208	0.00640035056802481	1	1.8630891207471745e-4	0.03905567036914975
PSMC5	1	3	0	0	10	3.067140501648222	0	0	19.042110705806063	0.29046367714529886	0.6612669684671258	0.4699683479242741	3.2875790681125804e-5	0.6849084872670012	0.9790755787452324	0.995047987471456	0.06824727484549553	1.8661001563557988e-4	0.03905567036914975
HLA-B	23	8	0	0	6	0.3827139834698296	0	0	12.810147202087716	0.012679755217813393	0.0603328593435809	0.01258303413568096	0.0012437836226240368	0.5297699718797212	0.9447455947413183	0.6312272588064284	0.3220586851493135	1.8882419714894016e-4	0.03909866141815927
OR2T4	0	13	0	0	0	414.3774800501074	0	0	0	3.4490452008872907e-6	0.9601387212728384	1.6733317607542375e-5	1	0.0013426443158014044	0.9790755787452324	0.004401314782610875	1	2.0076816456626734e-4	0.041134226895977136
TGOLN2	0	14	0	0	1	335.8467960107472	0	0	1.7033272653325424	1.3220211910969226e-5	0.9505186232127089	5.455731455172863e-5	0.3648511784315526	0.004218331223526312	0.9790755787452324	0.011931500791402764	1	2.3537071360768547e-4	0.04772141218395823
CRIP2	0	0	0	1	6	0	328.8015119617289	328.8015119617289	16.43139022741287	0.8272030266892499	0.024740534887863874	0.045869705043130704	4.419414485638088e-4	0.9515866181917747	0.8900320297204208	0.8884328472409911	0.23894300985683262	2.3933372040996215e-4	0.04802465499030416
FKBP1C	3	13	0	0	0	11.975919892498919	0	0	0	4.592885218701603e-6	0.7174897002939942	2.1336133983473893e-5	1	0.0015963556767287143	0.9790755787452324	0.005464296208609682	1	2.5080856976311683e-4	0.04981365308029904
QKI	0	0	0	2	4	0	567.4845200805534	567.4845200805534	9.064490125453881	0.8213033573687465	0.0017202021489121089	0.0022839751541143816	0.009548429742441595	0.9515866181917747	0.47157767079472235	0.22647039278076916	0.6724491365627234	2.558823989916581e-4	0.05030803044417811
LILRB2	5	29	0	0	1	5.093394031038036	0	0	1.2938462532993436	6.856661339726955e-5	0.28586260620618253	5.6287111794506295e-5	0.42923008092512377	0.01588786384719589	0.9790755787452324	0.012173026044091895	1	2.810017145683519e-4	0.054694173723584004
CNBP	5	0	0	0	5	0	0	0	21.528164047952966	0.03470922396713827	0.45440171698949605	0.08969858139994691	2.809424583838569e-4	0.6344650149133823	0.9790755787452324	0.8985716122782593	0.18890985332897378	2.920358795157618e-4	0.056279072860344434
TCHH	9	54	0	0	4	2.8910907165002073	0	0	1.5946788183668865	8.820142551050347e-4	0.08406825338750701	1.0990282564382614e-4	0.25982741017771227	0.1167858874922748	0.9790755787452324	0.02228279789928575	1	3.273533607432988e-4	0.0624667236618389
NELFB	0	10	0	1	5	217.32613275627787	269.02508236231006	269.02508236231006	6.160682875407844	4.123585034073729e-4	0.030662949005689777	0.0014980588962864028	0.019551457096836443	0.06525321878309842	0.8900320297204208	0.16509226375687416	0.8593066829684732	3.3501877096886457e-4	0.06330878988483475
ZNF479	3	25	0	0	0	7.758663745638971	0	0	0	1.810759148979102e-5	0.4690746917979324	3.078310677784302e-5	1	0.005422248627035268	0.9790755787452324	0.007306858418584592	1	3.505747813783433e-4	0.06561141869950071
MMP9	7	0	0	0	6	0	0	0	6.567914455307685	7.454545056744255e-4	0.2590041091025007	0.002535350102302547	0.013117201309311065	0.10363947498890728	0.9790755787452324	0.24214036184320414	0.7494119715877214	3.761749672182013e-4	0.06973209106604829
HRNR	6	52	1	0	1	4.46927483824028	0.9509732376129342	0.9509732376129342	0.2718393215455303	2.587897155681418e-5	0.9626381548157686	4.4795211663894996e-5	0.7721390196531185	0.007631943975482291	0.9790755787452324	0.010021770112943128	1	3.8987740971874185e-4	0.07081993688304086
ZNF296	23	3	0	0	0	0.12001810714692747	0	0	0	1.196009151593902e-5	0.11455039576309778	3.4681007439196776e-5	1	0.0038798536877706177	0.9790755787452324	0.008084106462523348	1	3.9083131377037894e-4	0.07081993688304086
